Time,Date Updated,Song name,Song rank,Artist,Link of song,Views (Real),Shares (Real)
07/02/2026 21:46:15,02/02/2026,Hôn Lễ Của Em,1,Trọng Nhân,https://www.nhaccuatui.com/song/8gGIF8M2DfXw,52869,1179
07/02/2026 21:46:15,02/02/2026,Ai Ngoài Anh,2,VSTRA,https://www.nhaccuatui.com/song/2Yfjd5lWC4gY,52542,1065
07/02/2026 21:46:15,02/02/2026,Không Buông,3,Hngle,https://www.nhaccuatui.com/song/l8cuO7N4Gx3J,141121,2803
07/02/2026 21:46:15,02/02/2026,50 Năm Về Sau,4,F47,https://www.nhaccuatui.com/song/XmV52G0FWewe,44833,1673
07/02/2026 21:46:15,02/02/2026,In Love,5,Low G,https://www.nhaccuatui.com/song/TfjjHnTFVTKj,78863,1426
07/02/2026 21:46:15,02/02/2026,Anh Đã Không Biết Cách Yêu Em,6,Quang Đăng Trần,https://www.nhaccuatui.com/song/RjjlFp5VePzi,182117,4759
07/02/2026 21:46:15,02/02/2026,chẳng phải tình đầu sao đau đến thế,7,MIN,https://www.nhaccuatui.com/song/aV6cyHFUBioS,127001,3286
07/02/2026 21:46:15,02/02/2026,Vạn Sự Như Ý,8,Trúc Nhân,https://www.nhaccuatui.com/song/IXtVWa9W2Z8d,23223,875
07/02/2026 21:46:15,02/02/2026,CHỜ ANH VỀ,9,"ANH TRAI ""SAY HI""",https://www.nhaccuatui.com/song/jQjwLvlhKazj,75472,1629
07/02/2026 21:46:15,02/02/2026,Thiệp Hồng Sai Tên,10,Nguyễn Thành Đạt,https://www.nhaccuatui.com/song/Zx6a24zw8U3e,94692,1881
07/02/2026 21:46:15,02/02/2026,Kho Báu,11,(S)TRONG,https://www.nhaccuatui.com/song/UV8S5HlKISf1,170096,5092
07/02/2026 21:46:15,02/02/2026,Tấm Lòng Cửu Long,12,Ricky Star,https://www.nhaccuatui.com/song/NQCnL6VnjqRB,29039,546
07/02/2026 21:46:15,02/02/2026,Hẹn Lần Sau,13,MAYDAYs,https://www.nhaccuatui.com/song/EbqsKpohFIsf,29867,473
07/02/2026 21:46:15,02/02/2026,Chất Gây Hại,14,Quang Hùng MasterD,https://www.nhaccuatui.com/song/QoTmvhC2PH42,34909,551
07/02/2026 21:46:15,02/02/2026,Dạo Này,15,Obito,https://www.nhaccuatui.com/song/y1Zw0J28UP1P,32449,621
07/02/2026 21:46:15,02/02/2026,Mất Kết Nối,16,Dương Domic,https://www.nhaccuatui.com/song/uJ8qLJzC9wH5,391331,13987
07/02/2026 21:46:15,02/02/2026,Không Thời Gian,17,Dương Domic,https://www.nhaccuatui.com/song/FxoGeDuCWtSP,85652,1529
07/02/2026 21:46:15,02/02/2026,Nơi Này Có Anh,18,Sơn Tùng M-TP,https://www.nhaccuatui.com/song/JzDZ5BW4RSTI,337463,2085
07/02/2026 21:46:15,02/02/2026,Người Đầu Tiên,19,Juky San,https://www.nhaccuatui.com/song/oyfwO2mxFbH0,70527,1297
07/02/2026 21:46:15,02/02/2026,Ngày Này Năm Ấy,20,Việt Anh,https://www.nhaccuatui.com/song/10vd0FQlcvyO,111922,1558
07/02/2026 21:46:15,02/02/2026,Trộm Vía,21,Vũ Thùy Linh,https://www.nhaccuatui.com/song/MKB54UWAS74y,16074,308
07/02/2026 21:46:15,02/02/2026,SỚM MUỘN THÌ,22,"ANH TRAI ""SAY HI""",https://www.nhaccuatui.com/song/ZGqkPWpPCsBH,81319,1586
07/02/2026 21:46:15,02/02/2026,hello em có khỏe không,23,Dfoxie37,https://www.nhaccuatui.com/song/YWkSqD0hIgON,37454,602
07/02/2026 21:46:15,02/02/2026,Gió Đưa Tình,24,Wren Evans,https://www.nhaccuatui.com/song/KXD35NSTKALN,21151,383
07/02/2026 21:46:15,02/02/2026,Bình Yên,25,Vũ.,https://www.nhaccuatui.com/song/56Um1CgCynmG,244256,2014
07/02/2026 21:46:15,02/02/2026,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,26,"ANH TRAI ""SAY HI""",https://www.nhaccuatui.com/song/ohdUc5kDIMnJ,95666,1947
07/02/2026 21:46:15,02/02/2026,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),27,Nguyễn Hùng,https://www.nhaccuatui.com/song/My2LYptZ1GS5,149714,4633
07/02/2026 21:46:15,02/02/2026,Em Thua Cô Ta (#1),28,Thiên Đình,https://www.nhaccuatui.com/song/Yits32hZJ9sG,59710,953
07/02/2026 21:46:15,02/02/2026,Âm Thầm Bên Em,29,Sơn Tùng M-TP,https://www.nhaccuatui.com/song/Sttn5Z5WPKPR,314459,2085
07/02/2026 21:46:15,02/02/2026,E Là Không Thể,30,Anh Quân,https://www.nhaccuatui.com/song/r27tf4MELOuA,210683,1246
07/02/2026 21:46:15,02/02/2026,Giờ Thì,31,buitruonglinh,https://www.nhaccuatui.com/song/dyHwNKu52bax,185558,112
07/02/2026 21:46:15,02/02/2026,Hãy Trao Cho Anh,32,Sơn Tùng M-TP,https://www.nhaccuatui.com/song/vtEybe9NxLw7,942613,2085
07/02/2026 21:46:15,02/02/2026,Dù Cho Tận Thế,33,ERIK,https://www.nhaccuatui.com/song/szDsaurUCtvX,256608,7602
07/02/2026 21:46:15,02/02/2026,Ngàn Năm Ánh Sáng,34,Đặng Vĩnh Thịnh,https://www.nhaccuatui.com/song/xnhwlEUv6mPq,80468,1108
07/02/2026 21:46:15,02/02/2026,Những Lời Hứa Bỏ Quên,35,Vũ.,https://www.nhaccuatui.com/song/cJ6lXsQLONjC,311639,2014
07/02/2026 21:46:15,02/02/2026,Pin Dự Phòng,36,Dương Domic,https://www.nhaccuatui.com/song/k2TvHW1YQGPI,102379,1540
07/02/2026 21:46:15,02/02/2026,Việt Nam Tinh Hoa,37,Nguyễn Hải Phong,https://www.nhaccuatui.com/song/hvBzKG5sWHaq,4017,6
07/02/2026 21:46:15,02/02/2026,50 Năm Về Sau,38,meChill,https://www.nhaccuatui.com/song/nwF42w4md4KQ,13427,470
07/02/2026 21:46:15,02/02/2026,Có Mình Và Ta,39,Nguyễn Vĩ,https://www.nhaccuatui.com/song/JNc4jgCgMcHq,32328,493
07/02/2026 21:46:15,02/02/2026,Khóa Ly Biệt,40,The Masked Singer,https://www.nhaccuatui.com/song/4TTDL1BIR4XN,359427,0
07/02/2026 21:46:15,02/02/2026,Hôn Vào Đây Đi,41,VSTRA,https://www.nhaccuatui.com/song/1jdbAwutJSg9,19918,611
07/02/2026 21:46:15,02/02/2026,một đời,42,14 Casper,https://www.nhaccuatui.com/song/ESFq1iGH8zTQ,186949,4588
07/02/2026 21:46:15,02/02/2026,Khó Vẽ Nụ Cười,43,Đạt G,https://www.nhaccuatui.com/song/jyzUEf5T3rMu,552689,5130
07/02/2026 21:46:15,02/02/2026,Panorama,44,Richie D. ICY,https://www.nhaccuatui.com/song/SMJcVKFXYwbM,36834,614
07/02/2026 21:46:15,02/02/2026,Wrong Times,45,Puppy,https://www.nhaccuatui.com/song/0lTwDzgDWI2q,187031,3683
07/02/2026 21:46:15,02/02/2026,Exit Sign,46,HIEUTHUHAI,https://www.nhaccuatui.com/song/u004JyzIoGWx,197438,4425
07/02/2026 21:46:15,02/02/2026,Em,47,Binz,https://www.nhaccuatui.com/song/9gfD7AsrzcYv,46343,1034
07/02/2026 21:46:15,02/02/2026,Nắng Dưới Chân Mây,48,Nguyễn Hữu Kha,https://www.nhaccuatui.com/song/F2v0Z9WBlCMV,101596,2260
07/02/2026 21:46:15,02/02/2026,Thu Đợi,49,Wren Evans,https://www.nhaccuatui.com/song/UzRRKDMJ4PIV,21171,326
07/02/2026 21:46:15,02/02/2026,CHẠY NGAY ĐI,50,Sơn Tùng M-TP,https://www.nhaccuatui.com/song/fuwWtPb4h3B2,627100,5975
